gene,log2FoldChange,padj,baseMean
GENE000,2.9904,1.496e-10,67
GENE001,1.825,1.430e-05,1072
GENE002,3.6981,4.060e-10,184
GENE003,1.2834,3.392e-09,328
GENE004,1.2743,2.465e-09,891
GENE005,2.7258,3.492e-09,586
GENE006,3.4664,1.110e-10,2615
GENE007,3.1548,2.409e-08,29
GENE008,3.8802,2.271e-08,19
GENE009,1.4708,8.560e-05,647
GENE010,3.46,1.283e-05,406
GENE011,3.9247,4.464e-08,453
GENE012,3.5223,2.136e-06,3847
GENE013,2.8166,8.551e-06,14
GENE014,1.8381,1.061e-08,17
GENE015,1.8518,5.093e-10,68
GENE016,2.9799,3.580e-08,129
GENE017,1.7866,7.393e-09,6456
GENE018,3.0145,1.836e-06,33
GENE019,3.2416,1.393e-09,138
GENE020,3.9707,3.020e-06,469
GENE021,3.1169,7.943e-05,2128
GENE022,1.8413,1.678e-10,88
GENE023,1.9497,2.998e-09,6741
GENE024,3.6538,1.595e-08,925
GENE025,2.3078,2.523e-04,238
GENE026,1.9417,5.326e-09,483
GENE027,1.9357,1.236e-06,4937
GENE028,2.3183,3.430e-09,9831
GENE029,2.6267,4.329e-10,14
GENE030,1.507,2.467e-06,2378
GENE031,2.382,2.784e-10,140
GENE032,3.9891,5.056e-07,8189
GENE033,3.6102,1.203e-10,1453
GENE034,3.1088,5.738e-07,63
GENE035,2.9947,6.038e-10,202
GENE036,2.4704,4.750e-04,4242
GENE037,1.9375,3.192e-07,34
GENE038,3.7554,1.241e-04,79
GENE039,2.9891,1.831e-06,29
GENE040,-1.865,4.976e-06,2167
GENE041,-2.515,1.007e-08,94
GENE042,-3.9455,4.421e-04,4327
GENE043,-1.6713,3.448e-07,15
GENE044,-1.5416,5.429e-04,18
GENE045,-2.6392,2.219e-08,1913
GENE046,-1.8557,4.385e-08,267
GENE047,-2.4605,2.115e-07,4143
GENE048,-2.8152,1.145e-07,415
GENE049,-1.9562,1.013e-07,86
GENE050,-1.2136,1.776e-05,206
GENE051,-2.5508,4.027e-08,47
GENE052,-3.0534,8.741e-06,49
GENE053,-3.3834,2.264e-08,782
GENE054,-3.359,3.366e-04,3792
GENE055,-3.8016,1.549e-07,1016
GENE056,-3.4001,4.587e-08,6405
GENE057,-2.4011,2.309e-06,2259
GENE058,-1.739,8.955e-08,20
GENE059,-2.7931,1.312e-06,252
GENE060,-0.0784,9.850e-01,20
GENE061,-0.5932,4.325e-01,104
GENE062,0.1952,2.307e-01,222
GENE063,-0.231,4.508e-01,68
GENE064,0.0011,4.710e-01,3837
