sample,S1,S2,S3,S4,S5,S6
G00,8.77,13.9,9.27,8.92,7.84,9.01
G01,9.4,8.07,4.2,7.51,6.84,10.06
G02,4.79,7.78,4.43,4.52,5.67,3.91
G03,6.14,6.04,7.6,7.36,6.54,9.1
G04,8.38,8.0,7.31,6.39,8.58,8.7
G05,6.46,9.08,10.27,8.7,10.49,8.18
G06,8.04,6.7,10.95,10.61,10.54,11.09
G07,7.92,4.46,11.25,8.05,6.84,10.58
G08,-1.47,-0.24,-0.91,-1.84,-2.27,-1.27
G09,10.25,10.09,12.48,9.89,6.32,8.15
G10,4.79,3.3,3.29,1.53,1.52,2.66
G11,8.88,11.11,12.03,11.26,10.55,10.7
G12,6.55,3.08,4.55,7.91,7.58,7.99
G13,-0.54,1.09,1.36,0.87,-0.13,2.17
G14,9.93,8.96,8.77,7.78,10.91,9.31
G15,4.26,4.69,4.94,2.63,2.86,2.15
G16,8.58,6.32,6.0,6.75,5.45,5.75
G17,7.93,8.66,8.57,6.67,9.59,10.23
G18,0.56,-0.62,0.81,0.86,1.04,1.99
G19,2.9,0.5,0.36,1.58,0.48,0.7
G20,4.97,7.01,4.84,7.8,6.7,7.36
G21,5.46,4.89,5.66,2.09,3.39,4.82
G22,11.23,10.28,7.78,10.96,6.36,9.84
G23,2.53,1.73,1.84,1.22,-0.53,-0.67
