chrom,start,end,value
chr1,0,1831,0.381
chr1,3254,5927,0.295
chr1,7162,10141,0.43
chr1,10575,14568,0.655
chr1,15897,19349,0.865
chr1,20429,22778,0.888
chr1,23825,25713,0.827
chr1,26729,28932,0.73
chr1,29772,32020,0.313
chr1,32742,34775,0.954
chr1,35946,36720,0.091
chr1,37094,37975,0.432
chr1,38938,42763,0.13
chr1,43085,45987,0.957
chr1,47337,49187,0.67
chr1,50228,52176,0.874
chr1,53242,56695,0.051
chr1,57484,60443,0.312
chr1,60855,63722,0.507
chr1,64238,67427,0.482
chr1,67848,69782,0.845
chr1,70734,71704,0.763
chr1,73079,74505,0.807
chr1,75853,79496,0.818
chr1,80952,84216,0.643
chr1,84469,87463,0.929
chr1,88210,88828,0.18
chr1,89660,91551,0.351
chr1,92122,93208,0.566
chr1,94228,95013,0.142
chr2,0,625,0.092
chr2,1911,3292,0.376
chr2,4421,6317,0.157
chr2,7155,10610,0.324
chr2,11972,14914,0.085
chr2,15221,16358,0.157
chr2,17823,18526,0.674
chr2,19283,21597,0.662
chr2,22791,25777,0.442
chr2,26536,27918,0.755
chr2,28351,30264,0.43
chr2,31044,34321,0.678
chr2,35517,38175,0.667
chr2,38468,39871,0.395
chr2,41298,42022,0.008
chr2,42839,44204,0.767
chr2,44927,46612,0.328
chr2,46827,49364,0.747
chr2,49923,50952,0.38
chr2,51623,54172,0.559
chr2,55097,55892,0.397
chr2,56178,58464,0.019
chr2,58823,60605,0.576
chr2,61979,64135,0.709
chr2,65190,66875,0.115
chr2,67117,68947,0.172
chr2,70412,72796,0.832
chr2,73737,74597,0.437
chr3,0,1496,0.436
chr3,2516,5162,0.079
chr3,5997,9551,0.34
chr3,10433,14124,0.168
chr3,15369,18462,0.114
chr3,19706,21000,0.906
chr3,21915,23853,0.727
chr3,24355,25822,0.103
chr3,26546,27854,0.173
chr3,28367,31980,0.759
chr3,32334,33559,0.951
chr3,35045,37568,0.464
chr3,38922,42534,0.579
chr3,43890,47023,0.635
chr3,48502,50325,0.864
chr3,51809,53603,0.151
chr3,53942,56362,0.442
